Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,Tissue
SRR8074940,RNA-Seq,75,1662248025,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",762490093,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX4902790,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,B16Bm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074941,miRNA-Seq,75,5729123400,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",2635625801,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX4902789,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I12As,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074942,RNA-Seq,75,311371275,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",123232067,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX4902788,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M24Dm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074943,RNA-Seq,75,1660344150,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",761114371,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX4902787,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,B16Am,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074944,RNA-Seq,75,355352700,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",140130430,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX4902786,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M16Bm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074945,RNA-Seq,75,1374451275,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",632262283,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX4902785,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M24Am,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074946,RNA-Seq,75,318909750,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",126734485,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX4902784,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M12Bm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074947,RNA-Seq,75,1762530675,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",806118108,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX4902783,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M16Am,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074948,miRNA-Seq,75,6000399600,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",2779837243,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX4902782,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I12Bs,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074949,miRNA-Seq,75,2134165275,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",839086760,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX4902781,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I12Cs,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074950,RNA-Seq,75,1956907275,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",782107561,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX4902780,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I24Cm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074951,RNA-Seq,75,1028733900,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",471229566,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX4902779,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M12Am,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074952,RNA-Seq,75,4091847300,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1876770008,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX4902778,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I24Bm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074953,RNA-Seq,75,4040949750,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1857539415,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX4902777,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I24Dm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074954,RNA-Seq,75,3971779125,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1814296841,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX4902776,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I16Bm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074955,RNA-Seq,75,1932402450,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",770785878,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX4902775,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I16Cm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074956,RNA-Seq,75,1869821100,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",734169960,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX4902774,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I12Cm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074957,RNA-Seq,75,3937764825,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1845245494,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX4902773,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I16Am,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074958,RNA-Seq,75,3924277275,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1793172957,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX4902772,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I12Am,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074959,RNA-Seq,75,3929504550,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1807043596,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX4902771,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I12Bm,SINGLE,cDNA,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
